timestamp,session_id,turn,eou_delay,llm_ttft,tts_ttfb,total
1783694185,28cad41c-1cc5-43ad-9f75-480a920d7639,1,0.000,0.690,0.348,1.039
1783694510,634e9d1c-07f5-40b4-ac5f-75b6239f7fab,1,0.000,1.981,0.283,2.265
1783694830,815e1661-0c51-4a6e-a38e-4c0421e559ed,1,0.000,1.494,0.315,1.809
1783695581,cf3ca2d2-d81b-4648-b1ea-be8b4b18f64a,1,0.000,1.568,0.273,1.841
1783743996,27a6021f-e1d9-4ced-9947-66d598d26844,1,0.200,0.727,0.259,1.186
1783744008,27a6021f-e1d9-4ced-9947-66d598d26844,2,0.201,3.261,0.283,3.745
1783744022,27a6021f-e1d9-4ced-9947-66d598d26844,3,0.200,0.774,0.243,1.217
1783744049,27a6021f-e1d9-4ced-9947-66d598d26844,4,0.201,0.713,0.297,1.211
1783744068,27a6021f-e1d9-4ced-9947-66d598d26844,5,0.201,1.148,0.297,1.645
1783744084,27a6021f-e1d9-4ced-9947-66d598d26844,6,0.208,0.935,0.306,1.448
1783744102,27a6021f-e1d9-4ced-9947-66d598d26844,7,0.201,0.745,0.257,1.203
1783744126,27a6021f-e1d9-4ced-9947-66d598d26844,8,0.201,4.176,0.281,4.658
1783744172,27a6021f-e1d9-4ced-9947-66d598d26844,9,0.200,0.709,0.273,1.183
1783744192,27a6021f-e1d9-4ced-9947-66d598d26844,10,0.202,0.752,0.274,1.228
1783744208,27a6021f-e1d9-4ced-9947-66d598d26844,11,0.000,0.662,0.250,0.912
1783744222,27a6021f-e1d9-4ced-9947-66d598d26844,12,0.201,1.084,0.319,1.603
1783744239,27a6021f-e1d9-4ced-9947-66d598d26844,13,0.201,1.112,0.339,1.652
1783744844,e17160d6-a122-4f9b-a209-362f86e2a2bd,1,0.000,1.058,0.317,1.375
1783744868,e17160d6-a122-4f9b-a209-362f86e2a2bd,2,0.202,1.798,0.304,2.304
1783744879,e17160d6-a122-4f9b-a209-362f86e2a2bd,3,0.213,0.850,0.296,1.359
1783744902,e17160d6-a122-4f9b-a209-362f86e2a2bd,4,0.201,2.121,0.287,2.609
1783744927,e17160d6-a122-4f9b-a209-362f86e2a2bd,5,0.201,0.857,0.286,1.343
1783744942,e17160d6-a122-4f9b-a209-362f86e2a2bd,6,0.201,0.861,0.313,1.375
1783744975,e17160d6-a122-4f9b-a209-362f86e2a2bd,7,0.000,0.879,0.350,1.230
1783745005,e17160d6-a122-4f9b-a209-362f86e2a2bd,8,0.201,1.130,0.338,1.669
1783745243,8e250590-9c10-4350-b118-5cd96bd6e5c3,1,0.000,1.100,0.286,1.385
1783745328,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,1,0.201,0.773,0.304,1.278
1783745351,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,2,0.201,0.765,0.259,1.225
1783745368,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,3,0.201,0.712,0.306,1.219
1783745378,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,4,0.201,0.594,0.286,1.081
1783745396,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,5,0.201,0.810,0.288,1.299
1783745409,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,6,0.200,0.770,0.316,1.286
1783745425,3d9a45e9-3c16-40b2-a51f-99e7c61c3945,7,0.202,0.627,0.353,1.182
1783746089,ad1ba29d-b58c-4d23-a84d-e41099e4b895,1,0.000,0.375,0.294,0.669
